domain,field,precision,recall,f1,true_positive,predicted,expected,gold_rows,gold_doi,gold_pdf,gold_title,gold_match_mode,gold_path,macro_f1
complexes,SMILES,0.0,0.0,0.0,0,0,403,403,10.1016/j.ccr.2022.214606;10.1021/ci500346w,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Complexes\train-00000-of-00001 (4).parquet,0.0
complexes,SMILES_type,0.0,0.0,0.0,0,0,403,403,10.1016/j.ccr.2022.214606;10.1021/ci500346w,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Complexes\train-00000-of-00001 (4).parquet,0.0
complexes,access,0.0,0.0,0.0,0,0,403,403,10.1016/j.ccr.2022.214606;10.1021/ci500346w,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Complexes\train-00000-of-00001 (4).parquet,0.0
complexes,compound_id,0.0,0.0,0.0,0,0,403,403,10.1016/j.ccr.2022.214606;10.1021/ci500346w,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Complexes\train-00000-of-00001 (4).parquet,0.0
complexes,compound_name,0.0,0.0,0.0,0,0,403,403,10.1016/j.ccr.2022.214606;10.1021/ci500346w,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Complexes\train-00000-of-00001 (4).parquet,0.0
complexes,doi,0.0,0.0,0.0,0,0,403,403,10.1016/j.ccr.2022.214606;10.1021/ci500346w,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Complexes\train-00000-of-00001 (4).parquet,0.0
complexes,doi_sourse,0.0,0.0,0.0,0,0,403,403,10.1016/j.ccr.2022.214606;10.1021/ci500346w,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Complexes\train-00000-of-00001 (4).parquet,0.0
complexes,metal,0.0,0.0,0.0,0,0,403,403,10.1016/j.ccr.2022.214606;10.1021/ci500346w,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Complexes\train-00000-of-00001 (4).parquet,0.0
complexes,origin_metal,0.0,0.0,0.0,0,0,403,403,10.1016/j.ccr.2022.214606;10.1021/ci500346w,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Complexes\train-00000-of-00001 (4).parquet,0.0
complexes,origin_smiles,0.0,0.0,0.0,0,0,403,403,10.1016/j.ccr.2022.214606;10.1021/ci500346w,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Complexes\train-00000-of-00001 (4).parquet,0.0
complexes,origin_target_value,0.0,0.0,0.0,0,0,403,403,10.1016/j.ccr.2022.214606;10.1021/ci500346w,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Complexes\train-00000-of-00001 (4).parquet,0.0
complexes,page_metal,0.0,0.0,0.0,0,0,403,403,10.1016/j.ccr.2022.214606;10.1021/ci500346w,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Complexes\train-00000-of-00001 (4).parquet,0.0
complexes,page_smiles,0.0,0.0,0.0,0,0,403,403,10.1016/j.ccr.2022.214606;10.1021/ci500346w,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Complexes\train-00000-of-00001 (4).parquet,0.0
complexes,page_target_value,0.0,0.0,0.0,0,0,403,403,10.1016/j.ccr.2022.214606;10.1021/ci500346w,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Complexes\train-00000-of-00001 (4).parquet,0.0
complexes,pdf,0.0,0.0,0.0,0,0,403,403,10.1016/j.ccr.2022.214606;10.1021/ci500346w,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Complexes\train-00000-of-00001 (4).parquet,0.0
complexes,publisher,0.0,0.0,0.0,0,0,403,403,10.1016/j.ccr.2022.214606;10.1021/ci500346w,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Complexes\train-00000-of-00001 (4).parquet,0.0
complexes,supplementary,0.0,0.0,0.0,0,0,403,403,10.1016/j.ccr.2022.214606;10.1021/ci500346w,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Complexes\train-00000-of-00001 (4).parquet,0.0
complexes,target,0.0,0.0,0.0,0,0,403,403,10.1016/j.ccr.2022.214606;10.1021/ci500346w,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Complexes\train-00000-of-00001 (4).parquet,0.0
complexes,title,0.0,0.0,0.0,0,0,403,403,10.1016/j.ccr.2022.214606;10.1021/ci500346w,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Complexes\train-00000-of-00001 (4).parquet,0.0
complexes,year,0.0,0.0,0.0,0,0,403,403,10.1016/j.ccr.2022.214606;10.1021/ci500346w,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Complexes\train-00000-of-00001 (4).parquet,0.0
