domain,field,precision,recall,f1,true_positive,predicted,expected,gold_rows,gold_doi,gold_pdf,gold_title,gold_match_mode,gold_path,macro_f1
oxazolidinones,access,1.0,0.10204081632653061,0.1851851851851852,15,15,147,147,10.3390/ph16040516,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Oxazolidinones\train-00000-of-00001 (2).parquet,0.07330246913580246
oxazolidinones,bacteria,1.0,0.10204081632653061,0.1851851851851852,15,15,147,147,10.3390/ph16040516,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Oxazolidinones\train-00000-of-00001 (2).parquet,0.07330246913580246
oxazolidinones,bacteria_info,0.0,0.0,0.0,0,15,147,147,10.3390/ph16040516,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Oxazolidinones\train-00000-of-00001 (2).parquet,0.07330246913580246
oxazolidinones,bacteria_name_unified,1.0,0.10204081632653061,0.1851851851851852,15,15,147,147,10.3390/ph16040516,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Oxazolidinones\train-00000-of-00001 (2).parquet,0.07330246913580246
oxazolidinones,column_prop,0.0,0.0,0.0,0,15,147,147,10.3390/ph16040516,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Oxazolidinones\train-00000-of-00001 (2).parquet,0.07330246913580246
oxazolidinones,compound_id,0.8,0.08163265306122448,0.1481481481481481,12,15,147,147,10.3390/ph16040516,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Oxazolidinones\train-00000-of-00001 (2).parquet,0.07330246913580246
oxazolidinones,doi,1.0,0.10204081632653061,0.1851851851851852,15,15,147,147,10.3390/ph16040516,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Oxazolidinones\train-00000-of-00001 (2).parquet,0.07330246913580246
oxazolidinones,line_prop,0.0,0.0,0.0,0,15,147,147,10.3390/ph16040516,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Oxazolidinones\train-00000-of-00001 (2).parquet,0.07330246913580246
oxazolidinones,origin_bacteria,0.0,0.0,0.0,0,15,147,147,10.3390/ph16040516,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Oxazolidinones\train-00000-of-00001 (2).parquet,0.07330246913580246
oxazolidinones,origin_residue,0.0,0.0,0.0,0,15,147,147,10.3390/ph16040516,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Oxazolidinones\train-00000-of-00001 (2).parquet,0.07330246913580246
oxazolidinones,origin_scaffold,0.0,0.0,0.0,0,15,147,147,10.3390/ph16040516,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Oxazolidinones\train-00000-of-00001 (2).parquet,0.07330246913580246
oxazolidinones,origin_target,0.0,0.0,0.0,0,15,147,147,10.3390/ph16040516,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Oxazolidinones\train-00000-of-00001 (2).parquet,0.07330246913580246
oxazolidinones,page_bacteria,1.0,0.10204081632653061,0.1851851851851852,15,15,147,147,10.3390/ph16040516,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Oxazolidinones\train-00000-of-00001 (2).parquet,0.07330246913580246
oxazolidinones,page_residue,0.0,0.0,0.0,0,15,147,147,10.3390/ph16040516,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Oxazolidinones\train-00000-of-00001 (2).parquet,0.07330246913580246
oxazolidinones,page_scaffold,1.0,0.10204081632653061,0.1851851851851852,15,15,147,147,10.3390/ph16040516,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Oxazolidinones\train-00000-of-00001 (2).parquet,0.07330246913580246
oxazolidinones,page_target,1.0,0.10204081632653061,0.1851851851851852,15,15,147,147,10.3390/ph16040516,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Oxazolidinones\train-00000-of-00001 (2).parquet,0.07330246913580246
oxazolidinones,pdf,0.0,0.0,0.0,0,15,147,147,10.3390/ph16040516,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Oxazolidinones\train-00000-of-00001 (2).parquet,0.07330246913580246
oxazolidinones,publisher,0.0,0.0,0.0,0,15,147,147,10.3390/ph16040516,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Oxazolidinones\train-00000-of-00001 (2).parquet,0.07330246913580246
oxazolidinones,section_bacteria,0.0,0.0,0.0,0,15,147,147,10.3390/ph16040516,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Oxazolidinones\train-00000-of-00001 (2).parquet,0.07330246913580246
oxazolidinones,section_residue,0.0,0.0,0.0,0,15,147,147,10.3390/ph16040516,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Oxazolidinones\train-00000-of-00001 (2).parquet,0.07330246913580246
oxazolidinones,section_scaffold,0.0,0.0,0.0,0,15,147,147,10.3390/ph16040516,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Oxazolidinones\train-00000-of-00001 (2).parquet,0.07330246913580246
oxazolidinones,section_target,0.0,0.0,0.0,0,15,147,147,10.3390/ph16040516,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Oxazolidinones\train-00000-of-00001 (2).parquet,0.07330246913580246
oxazolidinones,smiles,0.0,0.0,0.0,0,15,147,147,10.3390/ph16040516,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Oxazolidinones\train-00000-of-00001 (2).parquet,0.07330246913580246
oxazolidinones,subsection_bacteria,0.0,0.0,0.0,0,15,147,147,10.3390/ph16040516,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Oxazolidinones\train-00000-of-00001 (2).parquet,0.07330246913580246
oxazolidinones,subsection_scaffold,1.0,0.10204081632653061,0.1851851851851852,15,15,147,147,10.3390/ph16040516,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Oxazolidinones\train-00000-of-00001 (2).parquet,0.07330246913580246
oxazolidinones,subsection_target,0.0,0.0,0.0,0,15,147,147,10.3390/ph16040516,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Oxazolidinones\train-00000-of-00001 (2).parquet,0.07330246913580246
oxazolidinones,target_relation,0.2,0.02040816326530612,0.03703703703703703,3,15,147,147,10.3390/ph16040516,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Oxazolidinones\train-00000-of-00001 (2).parquet,0.07330246913580246
oxazolidinones,target_type,0.6666666666666666,0.06802721088435375,0.1234567901234568,10,15,147,147,10.3390/ph16040516,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Oxazolidinones\train-00000-of-00001 (2).parquet,0.07330246913580246
oxazolidinones,target_units,0.0,0.0,0.0,0,15,147,147,10.3390/ph16040516,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Oxazolidinones\train-00000-of-00001 (2).parquet,0.07330246913580246
oxazolidinones,target_value,1.0,0.10204081632653061,0.1851851851851852,15,15,147,147,10.3390/ph16040516,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Oxazolidinones\train-00000-of-00001 (2).parquet,0.07330246913580246
oxazolidinones,title,1.0,0.10204081632653061,0.1851851851851852,15,15,147,147,10.3390/ph16040516,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Oxazolidinones\train-00000-of-00001 (2).parquet,0.07330246913580246
oxazolidinones,year,1.0,0.10204081632653061,0.1851851851851852,15,15,147,147,10.3390/ph16040516,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Oxazolidinones\train-00000-of-00001 (2).parquet,0.07330246913580246
