domain,field,precision,recall,f1,true_positive,predicted,expected,gold_rows,gold_doi,gold_pdf,gold_title,gold_match_mode,gold_path,reference_path,macro_f1
benzimidazoles,access,0.0,0.0,0.0,0,0,40,40,10.3390/antibiotics12071220,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Benzimidazoles\train-00000-of-00001 (1).parquet,C:\PyProjects\CheML-master\runs\Benzimidazoles\20260627T060425421078Z-benzimidazole-triazole-hybrids-as-antimicrobial-\reference.csv,0.0
benzimidazoles,bacteria,0.0,0.0,0.0,0,0,40,40,10.3390/antibiotics12071220,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Benzimidazoles\train-00000-of-00001 (1).parquet,C:\PyProjects\CheML-master\runs\Benzimidazoles\20260627T060425421078Z-benzimidazole-triazole-hybrids-as-antimicrobial-\reference.csv,0.0
benzimidazoles,bacteria_unified,0.0,0.0,0.0,0,0,40,40,10.3390/antibiotics12071220,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Benzimidazoles\train-00000-of-00001 (1).parquet,C:\PyProjects\CheML-master\runs\Benzimidazoles\20260627T060425421078Z-benzimidazole-triazole-hybrids-as-antimicrobial-\reference.csv,0.0
benzimidazoles,compound_id,0.0,0.0,0.0,0,0,40,40,10.3390/antibiotics12071220,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Benzimidazoles\train-00000-of-00001 (1).parquet,C:\PyProjects\CheML-master\runs\Benzimidazoles\20260627T060425421078Z-benzimidazole-triazole-hybrids-as-antimicrobial-\reference.csv,0.0
benzimidazoles,doi,0.0,0.0,0.0,0,0,40,40,10.3390/antibiotics12071220,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Benzimidazoles\train-00000-of-00001 (1).parquet,C:\PyProjects\CheML-master\runs\Benzimidazoles\20260627T060425421078Z-benzimidazole-triazole-hybrids-as-antimicrobial-\reference.csv,0.0
benzimidazoles,origin_bacteria,0.0,0.0,0.0,0,0,40,40,10.3390/antibiotics12071220,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Benzimidazoles\train-00000-of-00001 (1).parquet,C:\PyProjects\CheML-master\runs\Benzimidazoles\20260627T060425421078Z-benzimidazole-triazole-hybrids-as-antimicrobial-\reference.csv,0.0
benzimidazoles,origin_residue,0.0,0.0,0.0,0,0,40,40,10.3390/antibiotics12071220,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Benzimidazoles\train-00000-of-00001 (1).parquet,C:\PyProjects\CheML-master\runs\Benzimidazoles\20260627T060425421078Z-benzimidazole-triazole-hybrids-as-antimicrobial-\reference.csv,0.0
benzimidazoles,origin_scaffold,0.0,0.0,0.0,0,0,40,40,10.3390/antibiotics12071220,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Benzimidazoles\train-00000-of-00001 (1).parquet,C:\PyProjects\CheML-master\runs\Benzimidazoles\20260627T060425421078Z-benzimidazole-triazole-hybrids-as-antimicrobial-\reference.csv,0.0
benzimidazoles,origin_target,0.0,0.0,0.0,0,0,40,40,10.3390/antibiotics12071220,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Benzimidazoles\train-00000-of-00001 (1).parquet,C:\PyProjects\CheML-master\runs\Benzimidazoles\20260627T060425421078Z-benzimidazole-triazole-hybrids-as-antimicrobial-\reference.csv,0.0
benzimidazoles,page_bacteria,0.0,0.0,0.0,0,0,40,40,10.3390/antibiotics12071220,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Benzimidazoles\train-00000-of-00001 (1).parquet,C:\PyProjects\CheML-master\runs\Benzimidazoles\20260627T060425421078Z-benzimidazole-triazole-hybrids-as-antimicrobial-\reference.csv,0.0
benzimidazoles,page_residue,0.0,0.0,0.0,0,0,40,40,10.3390/antibiotics12071220,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Benzimidazoles\train-00000-of-00001 (1).parquet,C:\PyProjects\CheML-master\runs\Benzimidazoles\20260627T060425421078Z-benzimidazole-triazole-hybrids-as-antimicrobial-\reference.csv,0.0
benzimidazoles,page_scaffold,0.0,0.0,0.0,0,0,40,40,10.3390/antibiotics12071220,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Benzimidazoles\train-00000-of-00001 (1).parquet,C:\PyProjects\CheML-master\runs\Benzimidazoles\20260627T060425421078Z-benzimidazole-triazole-hybrids-as-antimicrobial-\reference.csv,0.0
benzimidazoles,page_target,0.0,0.0,0.0,0,0,40,40,10.3390/antibiotics12071220,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Benzimidazoles\train-00000-of-00001 (1).parquet,C:\PyProjects\CheML-master\runs\Benzimidazoles\20260627T060425421078Z-benzimidazole-triazole-hybrids-as-antimicrobial-\reference.csv,0.0
benzimidazoles,pdf,0.0,0.0,0.0,0,0,40,40,10.3390/antibiotics12071220,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Benzimidazoles\train-00000-of-00001 (1).parquet,C:\PyProjects\CheML-master\runs\Benzimidazoles\20260627T060425421078Z-benzimidazole-triazole-hybrids-as-antimicrobial-\reference.csv,0.0
benzimidazoles,publisher,0.0,0.0,0.0,0,0,40,40,10.3390/antibiotics12071220,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Benzimidazoles\train-00000-of-00001 (1).parquet,C:\PyProjects\CheML-master\runs\Benzimidazoles\20260627T060425421078Z-benzimidazole-triazole-hybrids-as-antimicrobial-\reference.csv,0.0
benzimidazoles,section_bacteria,0.0,0.0,0.0,0,0,40,40,10.3390/antibiotics12071220,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Benzimidazoles\train-00000-of-00001 (1).parquet,C:\PyProjects\CheML-master\runs\Benzimidazoles\20260627T060425421078Z-benzimidazole-triazole-hybrids-as-antimicrobial-\reference.csv,0.0
benzimidazoles,section_target,0.0,0.0,0.0,0,0,40,40,10.3390/antibiotics12071220,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Benzimidazoles\train-00000-of-00001 (1).parquet,C:\PyProjects\CheML-master\runs\Benzimidazoles\20260627T060425421078Z-benzimidazole-triazole-hybrids-as-antimicrobial-\reference.csv,0.0
benzimidazoles,smiles,0.0,0.0,0.0,0,0,40,40,10.3390/antibiotics12071220,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Benzimidazoles\train-00000-of-00001 (1).parquet,C:\PyProjects\CheML-master\runs\Benzimidazoles\20260627T060425421078Z-benzimidazole-triazole-hybrids-as-antimicrobial-\reference.csv,0.0
benzimidazoles,subsection_bacteria,0.0,0.0,0.0,0,0,40,40,10.3390/antibiotics12071220,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Benzimidazoles\train-00000-of-00001 (1).parquet,C:\PyProjects\CheML-master\runs\Benzimidazoles\20260627T060425421078Z-benzimidazole-triazole-hybrids-as-antimicrobial-\reference.csv,0.0
benzimidazoles,subsection_target,0.0,0.0,0.0,0,0,40,40,10.3390/antibiotics12071220,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Benzimidazoles\train-00000-of-00001 (1).parquet,C:\PyProjects\CheML-master\runs\Benzimidazoles\20260627T060425421078Z-benzimidazole-triazole-hybrids-as-antimicrobial-\reference.csv,0.0
benzimidazoles,target_relation,0.0,0.0,0.0,0,0,40,40,10.3390/antibiotics12071220,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Benzimidazoles\train-00000-of-00001 (1).parquet,C:\PyProjects\CheML-master\runs\Benzimidazoles\20260627T060425421078Z-benzimidazole-triazole-hybrids-as-antimicrobial-\reference.csv,0.0
benzimidazoles,target_type,0.0,0.0,0.0,0,0,40,40,10.3390/antibiotics12071220,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Benzimidazoles\train-00000-of-00001 (1).parquet,C:\PyProjects\CheML-master\runs\Benzimidazoles\20260627T060425421078Z-benzimidazole-triazole-hybrids-as-antimicrobial-\reference.csv,0.0
benzimidazoles,target_units,0.0,0.0,0.0,0,0,40,40,10.3390/antibiotics12071220,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Benzimidazoles\train-00000-of-00001 (1).parquet,C:\PyProjects\CheML-master\runs\Benzimidazoles\20260627T060425421078Z-benzimidazole-triazole-hybrids-as-antimicrobial-\reference.csv,0.0
benzimidazoles,target_value,0.0,0.0,0.0,0,0,40,40,10.3390/antibiotics12071220,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Benzimidazoles\train-00000-of-00001 (1).parquet,C:\PyProjects\CheML-master\runs\Benzimidazoles\20260627T060425421078Z-benzimidazole-triazole-hybrids-as-antimicrobial-\reference.csv,0.0
benzimidazoles,title,0.0,0.0,0.0,0,0,40,40,10.3390/antibiotics12071220,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Benzimidazoles\train-00000-of-00001 (1).parquet,C:\PyProjects\CheML-master\runs\Benzimidazoles\20260627T060425421078Z-benzimidazole-triazole-hybrids-as-antimicrobial-\reference.csv,0.0
benzimidazoles,year,0.0,0.0,0.0,0,0,40,40,10.3390/antibiotics12071220,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Benzimidazoles\train-00000-of-00001 (1).parquet,C:\PyProjects\CheML-master\runs\Benzimidazoles\20260627T060425421078Z-benzimidazole-triazole-hybrids-as-antimicrobial-\reference.csv,0.0
