smiles,doi,title,publisher,year,access,compound_id,target_type,target_relation,target_value,target_units,bacteria,bacteria_unified,page_bacteria,origin_bacteria,section_bacteria,subsection_bacteria,page_target,origin_target,section_target,subsection_target,page_scaffold,origin_scaffold,page_residue,origin_residue,pdf
Cc1cc(C)nc(NS(=O)(=O)c2ccc(-n3cc(CSc4nc5ccccc5[nH]4)nn3)cc2)n1,10.3390/antibiotics12071220,Benzimidazole-Triazole Hybrids as Antimicrobial and Antiviral Agents: A Systematic Review,MDPI AG,2023,1,6a,MIC,'=',128,µg mL-1,E.c.,nan,5,table 1,nan,nan,5,table 1,nan,nan,5,scheme 2,5.0,scheme 2,antibiotics12071220
O=S(=O)(Nc1ncccn1)c1ccc(-n2cc(CSc3nc4ccccc4[nH]3)nn2)cc1,10.3390/antibiotics12071220,Benzimidazole-Triazole Hybrids as Antimicrobial and Antiviral Agents: A Systematic Review,MDPI AG,2023,1,6b,MIC,'=',128,µg mL-1,E.c.,nan,5,table 1,nan,nan,5,table 1,nan,nan,5,scheme 2,5.0,scheme 2,antibiotics12071220
O=S(=O)(Nc1ccccn1)c1ccc(-n2cc(CSc3nc4ccccc4[nH]3)nn2)cc1,10.3390/antibiotics12071220,Benzimidazole-Triazole Hybrids as Antimicrobial and Antiviral Agents: A Systematic Review,MDPI AG,2023,1,6c,MIC,'=',64,µg mL-1,E.c.,nan,5,table 1,nan,nan,5,table 1,nan,nan,5,scheme 2,5.0,scheme 2,antibiotics12071220
O=S(=O)(Nc1nccs1)c1ccc(-n2cc(CSc3nc4ccccc4[nH]3)nn2)cc1,10.3390/antibiotics12071220,Benzimidazole-Triazole Hybrids as Antimicrobial and Antiviral Agents: A Systematic Review,MDPI AG,2023,1,6d,MIC,'=',64,µg mL-1,E.c.,nan,5,table 1,nan,nan,5,table 1,nan,nan,5,scheme 2,5.0,scheme 2,antibiotics12071220
Cc1noc(NS(=O)(=O)c2ccc(-n3cc(CSc4nc5ccccc5[nH]4)nn3)cc2)c1C,10.3390/antibiotics12071220,Benzimidazole-Triazole Hybrids as Antimicrobial and Antiviral Agents: A Systematic Review,MDPI AG,2023,1,6e,MIC,'=',64,µg mL-1,E.c.,nan,5,table 1,nan,nan,5,table 1,nan,nan,5,scheme 2,5.0,scheme 2,antibiotics12071220
N=C(N)NS(=O)(=O)c1ccc(-n2cc(CSc3nc4ccccc4[nH]3)nn2)cc1,10.3390/antibiotics12071220,Benzimidazole-Triazole Hybrids as Antimicrobial and Antiviral Agents: A Systematic Review,MDPI AG,2023,1,6f,MIC,'=',256,µg mL-1,E.c.,nan,5,table 1,nan,nan,5,table 1,nan,nan,5,scheme 2,5.0,scheme 2,antibiotics12071220
CC1Cc2ccccc2N1C(=O)Cn1cc(Cn2c(-c3ccccn3)nc3ccccc32)nn1,10.3390/antibiotics12071220,Benzimidazole-Triazole Hybrids as Antimicrobial and Antiviral Agents: A Systematic Review,MDPI AG,2023,1,35a,MIC,'=',"0,056",µmol mL-1,E. coli,Escherichia coli,10,table 3,nan,nan,10,table 3,nan,nan,10,scheme 8,10.0,scheme 8,antibiotics12071220
O=C(Cn1cc(Cn2cnc3ccccc32)nn1)N1CCc2ccc([N+](=O)[O-])cc21,10.3390/antibiotics12071220,Benzimidazole-Triazole Hybrids as Antimicrobial and Antiviral Agents: A Systematic Review,MDPI AG,2023,1,35b,MIC,'=',"0,062",µmol mL-1,E. coli,Escherichia coli,10,table 3,nan,nan,10,table 3,nan,nan,10,scheme 8,10.0,scheme 8,antibiotics12071220
Cc1cc2ncn(Cc3cn(CC(=O)N4CCc5ccc([N+](=O)[O-])cc54)nn3)c2cc1C,10.3390/antibiotics12071220,Benzimidazole-Triazole Hybrids as Antimicrobial and Antiviral Agents: A Systematic Review,MDPI AG,2023,1,35c,MIC,'=',"0,058",µmol mL-1,E. coli,Escherichia coli,10,table 3,nan,nan,10,table 3,nan,nan,10,scheme 8,10.0,scheme 8,antibiotics12071220
Cc1nc2ccccc2n1Cc1cn(CC(=O)N2CCc3ccc([N+](=O)[O-])cc32)nn1,10.3390/antibiotics12071220,Benzimidazole-Triazole Hybrids as Antimicrobial and Antiviral Agents: A Systematic Review,MDPI AG,2023,1,35d,MIC,'=',"0,03",µmol mL-1,E. coli,Escherichia coli,10,table 3,nan,nan,10,table 3,nan,nan,10,scheme 8,10.0,scheme 8,antibiotics12071220
