smiles,doi,title,publisher,year,access,compound_id,target_type,target_relation,target_value,target_units,bacteria,bacteria_unified,page_bacteria,origin_bacteria,section_bacteria,subsection_bacteria,page_target,origin_target,section_target,subsection_target,page_scaffold,origin_scaffold,page_residue,origin_residue,pdf
O=C(c1ccncc1)N1N=C(c2nc3ccccc3[nH]2)CC1c1ccc(O)cc1,10.3390/antibiotics10081002,Synthesis of Antimicrobial Benzimidazole–Pyrazole Compounds and Their Biological Activities,MDPI AG,2021,1,3g,MIC,'=',25,µg mL-1,E. coli,Escherichia coli,2,text,"2. Synthesis, Antimicrobial Activities of Benzimidazole–Pyrazole Compounds. Benzimidazole–Pyrazole Compounds as Potent DNA Gyrase and Topoisomerase IV Inhibitors",2.1. Benzimidazoles Substituted in the “2” Position with Pyrazole Moiety,2,text,"2. Synthesis, Antimicrobial Activities of Benzimidazole–Pyrazole Compounds. Benzimidazole–Pyrazole Compounds as Potent DNA Gyrase and Topoisomerase IV Inhibitors",2.1. Benzimidazoles Substituted in the “2” Position with Pyrazole Moiety,2,scheme 1,2.0,scheme 1,antibiotics10081002
Cc1ccc(C2CC(c3nc4ccccc4[nH]3)=NN2C(=O)c2ccncc2)cc1,10.3390/antibiotics10081002,Synthesis of Antimicrobial Benzimidazole–Pyrazole Compounds and Their Biological Activities,MDPI AG,2021,1,3h,MIC,'=',25,µg mL-1,E. coli,Escherichia coli,2,text,"2. Synthesis, Antimicrobial Activities of Benzimidazole–Pyrazole Compounds. Benzimidazole–Pyrazole Compounds as Potent DNA Gyrase and Topoisomerase IV Inhibitors",2.1. Benzimidazoles Substituted in the “2” Position with Pyrazole Moiety,2,text,"2. Synthesis, Antimicrobial Activities of Benzimidazole–Pyrazole Compounds. Benzimidazole–Pyrazole Compounds as Potent DNA Gyrase and Topoisomerase IV Inhibitors",2.1. Benzimidazoles Substituted in the “2” Position with Pyrazole Moiety,2,scheme 1,2.0,scheme 1,antibiotics10081002
Cc1nn(-c2ccccc2)c2c1/C(=N/c1nc3ccccc3[nH]1)CO2,10.3390/antibiotics10081002,Synthesis of Antimicrobial Benzimidazole–Pyrazole Compounds and Their Biological Activities,MDPI AG,2021,1,10,MIC,'=',50,µg mL-1,E. coli,Escherichia coli,3,text,"2. Synthesis, Antimicrobial Activities of Benzimidazole–Pyrazole Compounds. Benzimidazole–Pyrazole Compounds as Potent DNA Gyrase and Topoisomerase IV Inhibitors",2.1. Benzimidazoles Substituted in the “2” Position with Pyrazole Moiety,3,text,"2. Synthesis, Antimicrobial Activities of Benzimidazole–Pyrazole Compounds. Benzimidazole–Pyrazole Compounds as Potent DNA Gyrase and Topoisomerase IV Inhibitors",2.1. Benzimidazoles Substituted in the “2” Position with Pyrazole Moiety,3,scheme 3,nan,nan,antibiotics10081002
O=[N+]([O-])c1ccc2[nH]c(-c3cn(-c4ccccc4)nc3-c3ccccc3)nc2c1,10.3390/antibiotics10081002,Synthesis of Antimicrobial Benzimidazole–Pyrazole Compounds and Their Biological Activities,MDPI AG,2021,1,28b,MIC,'=',312,µg mL-1,E. coli,nan,7,table 1,nan,nan,7,table 1,nan,nan,6,scheme 8,6.0,scheme 8,antibiotics10081002
Oc1ccccc1-c1nn(-c2ccccc2)cc1-c1nc2ccccc2[nH]1,10.3390/antibiotics10081002,Synthesis of Antimicrobial Benzimidazole–Pyrazole Compounds and Their Biological Activities,MDPI AG,2021,1,28c,MIC,'=',"187,5",µg mL-1,E. coli,nan,7,table 1,nan,nan,7,table 1,nan,nan,6,scheme 8,6.0,scheme 8,antibiotics10081002
O=[N+]([O-])c1ccc2[nH]c(-c3cn(-c4ccccc4)nc3-c3ccccc3O)nc2c1,10.3390/antibiotics10081002,Synthesis of Antimicrobial Benzimidazole–Pyrazole Compounds and Their Biological Activities,MDPI AG,2021,1,28d,MIC,'=',250,µg mL-1,E. coli,nan,7,table 1,nan,nan,7,table 1,nan,nan,6,scheme 8,6.0,scheme 8,antibiotics10081002
c1ccc(-c2nn(-c3ccccn3)cc2-c2nc3ccccc3[nH]2)cc1,10.3390/antibiotics10081002,Synthesis of Antimicrobial Benzimidazole–Pyrazole Compounds and Their Biological Activities,MDPI AG,2021,1,28e,MIC,'=',"187,5",µg mL-1,E. coli,nan,7,table 1,nan,nan,7,table 1,nan,nan,6,scheme 8,6.0,scheme 8,antibiotics10081002
O=[N+]([O-])c1ccc2[nH]c(-c3cn(-c4ccccn4)nc3-c3ccccc3)nc2c1,10.3390/antibiotics10081002,Synthesis of Antimicrobial Benzimidazole–Pyrazole Compounds and Their Biological Activities,MDPI AG,2021,1,28f,MIC,'=',312,µg mL-1,E. coli,nan,7,table 1,nan,nan,7,table 1,nan,nan,6,scheme 8,6.0,scheme 8,antibiotics10081002
Oc1ccccc1-c1nn(-c2ccccn2)cc1-c1nc2ccccc2[nH]1,10.3390/antibiotics10081002,Synthesis of Antimicrobial Benzimidazole–Pyrazole Compounds and Their Biological Activities,MDPI AG,2021,1,28g,MIC,'=',"62,5",µg mL-1,E. coli,Escherichia coli,7,table 1,nan,nan,7,table 1,nan,nan,6,scheme 8,6.0,scheme 8,antibiotics10081002
O=[N+]([O-])c1ccc2[nH]c(-c3cn(-c4ccccn4)nc3-c3ccccc3O)nc2c1,10.3390/antibiotics10081002,Synthesis of Antimicrobial Benzimidazole–Pyrazole Compounds and Their Biological Activities,MDPI AG,2021,1,28h,MIC,'=',125,µg mL-1,E. coli,nan,7,table 1,nan,nan,7,table 1,nan,nan,6,scheme 8,6.0,scheme 8,antibiotics10081002
