domain,field,precision,recall,f1,true_positive,predicted,expected,gold_rows,gold_doi,gold_pdf,gold_title,gold_match_mode,gold_path,reference_path,macro_f1
complexes,SMILES,0.0,0.0,0.0,0,0,23,23,10.1021/cr900325h,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Complexes\train-00000-of-00001 (4).parquet,C:\PyProjects\CheML-master\runs\Complexes\20260627T105927776817Z-coordinating-radiometals-of-copper-gallium-indiu\reference.csv,0.0
complexes,SMILES_type,0.0,0.0,0.0,0,0,23,23,10.1021/cr900325h,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Complexes\train-00000-of-00001 (4).parquet,C:\PyProjects\CheML-master\runs\Complexes\20260627T105927776817Z-coordinating-radiometals-of-copper-gallium-indiu\reference.csv,0.0
complexes,access,0.0,0.0,0.0,0,0,23,23,10.1021/cr900325h,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Complexes\train-00000-of-00001 (4).parquet,C:\PyProjects\CheML-master\runs\Complexes\20260627T105927776817Z-coordinating-radiometals-of-copper-gallium-indiu\reference.csv,0.0
complexes,compound_id,0.0,0.0,0.0,0,0,23,23,10.1021/cr900325h,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Complexes\train-00000-of-00001 (4).parquet,C:\PyProjects\CheML-master\runs\Complexes\20260627T105927776817Z-coordinating-radiometals-of-copper-gallium-indiu\reference.csv,0.0
complexes,compound_name,0.0,0.0,0.0,0,0,23,23,10.1021/cr900325h,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Complexes\train-00000-of-00001 (4).parquet,C:\PyProjects\CheML-master\runs\Complexes\20260627T105927776817Z-coordinating-radiometals-of-copper-gallium-indiu\reference.csv,0.0
complexes,doi,0.0,0.0,0.0,0,0,23,23,10.1021/cr900325h,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Complexes\train-00000-of-00001 (4).parquet,C:\PyProjects\CheML-master\runs\Complexes\20260627T105927776817Z-coordinating-radiometals-of-copper-gallium-indiu\reference.csv,0.0
complexes,doi_sourse,0.0,0.0,0.0,0,0,23,23,10.1021/cr900325h,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Complexes\train-00000-of-00001 (4).parquet,C:\PyProjects\CheML-master\runs\Complexes\20260627T105927776817Z-coordinating-radiometals-of-copper-gallium-indiu\reference.csv,0.0
complexes,metal,0.0,0.0,0.0,0,0,23,23,10.1021/cr900325h,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Complexes\train-00000-of-00001 (4).parquet,C:\PyProjects\CheML-master\runs\Complexes\20260627T105927776817Z-coordinating-radiometals-of-copper-gallium-indiu\reference.csv,0.0
complexes,origin_metal,0.0,0.0,0.0,0,0,23,23,10.1021/cr900325h,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Complexes\train-00000-of-00001 (4).parquet,C:\PyProjects\CheML-master\runs\Complexes\20260627T105927776817Z-coordinating-radiometals-of-copper-gallium-indiu\reference.csv,0.0
complexes,origin_smiles,0.0,0.0,0.0,0,0,23,23,10.1021/cr900325h,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Complexes\train-00000-of-00001 (4).parquet,C:\PyProjects\CheML-master\runs\Complexes\20260627T105927776817Z-coordinating-radiometals-of-copper-gallium-indiu\reference.csv,0.0
complexes,origin_target_value,0.0,0.0,0.0,0,0,23,23,10.1021/cr900325h,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Complexes\train-00000-of-00001 (4).parquet,C:\PyProjects\CheML-master\runs\Complexes\20260627T105927776817Z-coordinating-radiometals-of-copper-gallium-indiu\reference.csv,0.0
