domain,field,precision,recall,f1,true_positive,predicted,expected,gold_rows,gold_doi,gold_pdf,gold_title,gold_match_mode,gold_path,reference_path,macro_f1
oxazolidinones,access,1.0,0.058823529411764705,0.1111111111111111,4,4,68,68,10.3390/molecules27031103,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Oxazolidinones\train-00000-of-00001 (2).parquet,C:\PyProjects\CheML-master\runs\Oxazolidinones\20260627T112528944614Z-synthesis-antibacterial-and-anthelmintic-activit\reference.csv,0.046875000000000014
oxazolidinones,bacteria,0.0,0.0,0.0,0,4,68,68,10.3390/molecules27031103,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Oxazolidinones\train-00000-of-00001 (2).parquet,C:\PyProjects\CheML-master\runs\Oxazolidinones\20260627T112528944614Z-synthesis-antibacterial-and-anthelmintic-activit\reference.csv,0.046875000000000014
oxazolidinones,bacteria_info,1.0,0.058823529411764705,0.1111111111111111,4,4,68,68,10.3390/molecules27031103,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Oxazolidinones\train-00000-of-00001 (2).parquet,C:\PyProjects\CheML-master\runs\Oxazolidinones\20260627T112528944614Z-synthesis-antibacterial-and-anthelmintic-activit\reference.csv,0.046875000000000014
oxazolidinones,bacteria_name_unified,1.0,0.058823529411764705,0.1111111111111111,4,4,68,68,10.3390/molecules27031103,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Oxazolidinones\train-00000-of-00001 (2).parquet,C:\PyProjects\CheML-master\runs\Oxazolidinones\20260627T112528944614Z-synthesis-antibacterial-and-anthelmintic-activit\reference.csv,0.046875000000000014
oxazolidinones,column_prop,0.0,0.0,0.0,0,4,68,68,10.3390/molecules27031103,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Oxazolidinones\train-00000-of-00001 (2).parquet,C:\PyProjects\CheML-master\runs\Oxazolidinones\20260627T112528944614Z-synthesis-antibacterial-and-anthelmintic-activit\reference.csv,0.046875000000000014
oxazolidinones,compound_id,1.0,0.058823529411764705,0.1111111111111111,4,4,68,68,10.3390/molecules27031103,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Oxazolidinones\train-00000-of-00001 (2).parquet,C:\PyProjects\CheML-master\runs\Oxazolidinones\20260627T112528944614Z-synthesis-antibacterial-and-anthelmintic-activit\reference.csv,0.046875000000000014
oxazolidinones,doi,1.0,0.058823529411764705,0.1111111111111111,4,4,68,68,10.3390/molecules27031103,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Oxazolidinones\train-00000-of-00001 (2).parquet,C:\PyProjects\CheML-master\runs\Oxazolidinones\20260627T112528944614Z-synthesis-antibacterial-and-anthelmintic-activit\reference.csv,0.046875000000000014
oxazolidinones,line_prop,0.0,0.0,0.0,0,4,68,68,10.3390/molecules27031103,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Oxazolidinones\train-00000-of-00001 (2).parquet,C:\PyProjects\CheML-master\runs\Oxazolidinones\20260627T112528944614Z-synthesis-antibacterial-and-anthelmintic-activit\reference.csv,0.046875000000000014
oxazolidinones,origin_bacteria,0.0,0.0,0.0,0,4,68,68,10.3390/molecules27031103,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Oxazolidinones\train-00000-of-00001 (2).parquet,C:\PyProjects\CheML-master\runs\Oxazolidinones\20260627T112528944614Z-synthesis-antibacterial-and-anthelmintic-activit\reference.csv,0.046875000000000014
oxazolidinones,origin_residue,0.0,0.0,0.0,0,4,68,68,10.3390/molecules27031103,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Oxazolidinones\train-00000-of-00001 (2).parquet,C:\PyProjects\CheML-master\runs\Oxazolidinones\20260627T112528944614Z-synthesis-antibacterial-and-anthelmintic-activit\reference.csv,0.046875000000000014
