pdf,smiles,doi,title,publisher,year,access,compound_id,target_type,target_relation,target_value,target_units,bacteria,bacteria_name_unified,bacteria_info,page_bacteria,origin_bacteria,section_bacteria,subsection_bacteria,page_target,origin_target,section_target,subsection_target,column_prop,line_prop,page_scaffold,origin_scaffold,section_scaffold,subsection_scaffold,page_residue,origin_residue,section_residue
molecules27031103,CC(=O)OC[C@H]1CN(c2ccc(N3CCOCC3)nc2)C(=O)O1,10.3390/molecules27031103,"Synthesis, Antibacterial and Anthelmintic Activity of Novel 3-(3-Pyridyl)-oxazolidinone-5-methyl Ester Derivatives",MDPI AG,2022,1,11a,MIC,'=',128,μg/mL,S. Aureus Atcc 25923,Staphylococcus aureus,ATCC 25923,3,table 1,nan,nan,3,table 1,nan,nan,nan,nan,2,scheme 1,nan,nan,2.0,scheme 1,nan
molecules27031103,CC(=O)OC[C@H]1CN(c2ccc(N3CCOCC3)nc2)C(=O)O1,10.3390/molecules27031103,"Synthesis, Antibacterial and Anthelmintic Activity of Novel 3-(3-Pyridyl)-oxazolidinone-5-methyl Ester Derivatives",MDPI AG,2022,1,11a,MIC,>,256,μg/mL,S. Pneumoniae Atcc 49619,Streptococcus pneumoniae,ATCC 49619,3,table 1,nan,nan,3,table 1,nan,nan,nan,nan,2,scheme 1,nan,nan,2.0,scheme 1,nan
molecules27031103,CC(=O)OC[C@H]1CN(c2ccc(N3CCOCC3)nc2)C(=O)O1,10.3390/molecules27031103,"Synthesis, Antibacterial and Anthelmintic Activity of Novel 3-(3-Pyridyl)-oxazolidinone-5-methyl Ester Derivatives",MDPI AG,2022,1,11a,MIC,'=',256,μg/mL,B. Subtilis Bncc 109047,Bacillus subtilis,BNCC 109047,3,table 1,nan,nan,3,table 1,nan,nan,nan,nan,2,scheme 1,nan,nan,2.0,scheme 1,nan
molecules27031103,CC(=O)OC[C@H]1CN(c2ccc(N3CCOCC3)nc2)C(=O)O1,10.3390/molecules27031103,"Synthesis, Antibacterial and Anthelmintic Activity of Novel 3-(3-Pyridyl)-oxazolidinone-5-methyl Ester Derivatives",MDPI AG,2022,1,11a,MIC,>,256,μg/mL,S. Epidermidis Bncc 186652,Staphylococcus epidermidis,BNCC 186652,3,table 1,nan,nan,3,table 1,nan,nan,nan,nan,2,scheme 1,nan,nan,2.0,scheme 1,nan
molecules27031103,O=C(OC[C@H]1CN(c2ccc(N3CCOCC3)nc2)C(=O)O1)C1CCCCC1,10.3390/molecules27031103,"Synthesis, Antibacterial and Anthelmintic Activity of Novel 3-(3-Pyridyl)-oxazolidinone-5-methyl Ester Derivatives",MDPI AG,2022,1,11b,MIC,'=',128,μg/mL,S. Aureus Atcc 25923,Staphylococcus aureus,ATCC 25923,3,table 1,nan,nan,3,table 1,nan,nan,nan,nan,2,scheme 1,nan,nan,2.0,scheme 1,nan
molecules27031103,O=C(OC[C@H]1CN(c2ccc(N3CCOCC3)nc2)C(=O)O1)C1CCCCC1,10.3390/molecules27031103,"Synthesis, Antibacterial and Anthelmintic Activity of Novel 3-(3-Pyridyl)-oxazolidinone-5-methyl Ester Derivatives",MDPI AG,2022,1,11b,MIC,>,256,μg/mL,S. Pneumoniae Atcc 49619,Streptococcus pneumoniae,ATCC 49619,3,table 1,nan,nan,3,table 1,nan,nan,nan,nan,2,scheme 1,nan,nan,2.0,scheme 1,nan
molecules27031103,O=C(OC[C@H]1CN(c2ccc(N3CCOCC3)nc2)C(=O)O1)C1CCCCC1,10.3390/molecules27031103,"Synthesis, Antibacterial and Anthelmintic Activity of Novel 3-(3-Pyridyl)-oxazolidinone-5-methyl Ester Derivatives",MDPI AG,2022,1,11b,MIC,'=',128,μg/mL,B. Subtilis Bncc 109047,Bacillus subtilis,BNCC 109047,3,table 1,nan,nan,3,table 1,nan,nan,nan,nan,2,scheme 1,nan,nan,2.0,scheme 1,nan
molecules27031103,O=C(OC[C@H]1CN(c2ccc(N3CCOCC3)nc2)C(=O)O1)C1CCCCC1,10.3390/molecules27031103,"Synthesis, Antibacterial and Anthelmintic Activity of Novel 3-(3-Pyridyl)-oxazolidinone-5-methyl Ester Derivatives",MDPI AG,2022,1,11b,MIC,>,256,μg/mL,S. Epidermidis Bncc 186652,Staphylococcus epidermidis,BNCC 186652,3,table 1,nan,nan,3,table 1,nan,nan,nan,nan,2,scheme 1,nan,nan,2.0,scheme 1,nan
molecules27031103,O=C(OC[C@H]1CN(c2ccc(N3CCOCC3)nc2)C(=O)O1)C1CCCO1,10.3390/molecules27031103,"Synthesis, Antibacterial and Anthelmintic Activity of Novel 3-(3-Pyridyl)-oxazolidinone-5-methyl Ester Derivatives",MDPI AG,2022,1,11c,MIC,>,256,μg/mL,S. Aureus Atcc 25923,Staphylococcus aureus,ATCC 25923,3,table 1,nan,nan,3,table 1,nan,nan,nan,nan,2,scheme 1,nan,nan,2.0,scheme 1,nan
molecules27031103,O=C(OC[C@H]1CN(c2ccc(N3CCOCC3)nc2)C(=O)O1)C1CCCO1,10.3390/molecules27031103,"Synthesis, Antibacterial and Anthelmintic Activity of Novel 3-(3-Pyridyl)-oxazolidinone-5-methyl Ester Derivatives",MDPI AG,2022,1,11c,MIC,>,256,μg/mL,S. Pneumoniae Atcc 49619,Streptococcus pneumoniae,ATCC 49619,3,table 1,nan,nan,3,table 1,nan,nan,nan,nan,2,scheme 1,nan,nan,2.0,scheme 1,nan
